Seq Id	COG Supercategory	COG Letter	COG Category	CDD Id	CDD description
OM-RGC.v1.002839466	CELLULAR PROCESSES AND SIGNALING	[D]	Cell cycle control, cell division, chromosome partitioning	227944	CAS/CSE protein involved in chromosome segregation [Cell division and chromosome partitioning]. 
OM-RGC.v1.002839466	METABOLISM	[Q]	Secondary metabolites biosynthesis, transport and catabolism	225195	Pseudouridine-5'-phosphate glycosidase (pseudoU degradation) [Nucleotide transport and metabolism]. 
OM-RGC.v1.002843841				223267	Glutathione synthase/RimK-type ligase, ATP-grasp superfamily [Coenzyme transport and metabolism, Translation, ribosomal structure and biogenesis]. 
OM-RGC.v1.002843841	CELLULAR PROCESSES AND SIGNALING	[M]	Cell wall/membrane/envelope biogenesis	224102	D-alanine-D-alanine ligase and related ATP-grasp enzymes [Cell wall/membrane/envelope biogenesis, General function prediction only]. 
OM-RGC.v1.002843841	METABOLISM	[I]	Lipid transport and metabolism	223516	Biotin carboxylase [Lipid transport and metabolism]. 
OM-RGC.v1.002843841				223534	Carbamoylphosphate synthase large subunit [Amino acid transport and metabolism, Nucleotide transport and metabolism]. 
OM-RGC.v1.002843841	POORLY CHARACTERIZED	[R]	General function prediction only	225141	Predicted ATP-dependent carboligase, ATP-grasp superfamily [General function prediction only]. 
OM-RGC.v1.002843841	METABOLISM	[F]	Nucleotide transport and metabolism	223105	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase) [Nucleotide transport and metabolism]. 
OM-RGC.v1.002843841	METABOLISM	[P]	Inorganic ion transport and metabolism	225802	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]. 
OM-RGC.v1.002843841	POORLY CHARACTERIZED	[R]	General function prediction only	224734	Predicted ATP-dependent carboligase, ATP-grasp superfamily [General function prediction only]. 
OM-RGC.v1.002843841	METABOLISM	[I]	Lipid transport and metabolism	227111	Acetyl/propionyl-CoA carboxylase, alpha subunit  [Lipid transport and metabolism]. 
OM-RGC.v1.002843841	METABOLISM	[P]	Inorganic ion transport and metabolism	226921	Nitric oxide reductase activation protein  [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002843841	METABOLISM	[C]	Energy production and conversion	223123	Succinyl-CoA synthetase, beta subunit [Energy production and conversion]. 
OM-RGC.v1.002843841	METABOLISM	[E]	Amino acid transport and metabolism	226650	Arginine utilization protein RocB  [Amino acid transport and metabolism]. 
OM-RGC.v1.002843841	METABOLISM	[P]	Inorganic ion transport and metabolism	223564	K+/H+ antiporter YhaU, regulatory subunit KhtT [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002843841	POORLY CHARACTERIZED	[S]	Function unknown	225812	Uncharacterized conserved protein, contains PhoU and TrkA_C domains [Function unknown]. 
OM-RGC.v1.002843841	POORLY CHARACTERIZED	[R]	General function prediction only	223943	FMN phosphatase YigB, HAD superfamily [Coenzyme transport and metabolism]. 
OM-RGC.v1.002843841	METABOLISM	[P]	Inorganic ion transport and metabolism	223643	Trk K+ transport system, NAD-binding component [Inorganic ion transport and metabolism]. 
OM-RGC.v1.002843841	POORLY CHARACTERIZED	[S]	Function unknown	227208	Metal-binding trascriptional regulator, contains putative Fe-S cluster and ArsR family DNA binding domain [Transcription]. 
OM-RGC.v1.002843841	INFORMATION STORAGE AND PROCESSING	[K]	Transcription	225094	Transcriptional accessory protein Tex/SPT6 [Transcription]. 
OM-RGC.v1.002843841	METABOLISM	[C]	Energy production and conversion	223968	Pyruvate carboxylase  [Energy production and conversion]. 
OM-RGC.v1.002843841	METABOLISM	[E]	Amino acid transport and metabolism	224422	Prolyl oligopeptidase PreP, S9A serine peptidase family [Amino acid transport and metabolism]. 
OM-RGC.v1.002843841	CELLULAR PROCESSES AND SIGNALING	[N]	Cell motility	227126	Flagellar basal body rod protein FlgF [Cell motility]. 
